Date,High,Low,Close,Open,Trades,Volume,Turnover
2002-01-02,127.25,124,125,124,28,29400,3698700
2002-01-03,129.75,125,127,125,22,66000,8339400
2002-01-04,130,127,129,127,13,33500,4319050
2002-01-07,130,129,130,129,20,54200,7007150
2002-01-08,132,127,132,130,40,93400,12096200
2002-01-09,131,130,131,132,16,24100,3145750
2002-01-10,131,129,129,131,9,31000,4048700
2002-01-11,129,129,129,129,14,13300,1715700
2002-01-15,128.75,125,125,129,15,36900,4636650
2002-01-16,125,123,125,125,9,11800,1474000
2002-01-17,123,120,122,125,8,7700,941300
2002-01-18,126,120,125.5,122,19,26700,3328675
2002-01-21,126,125,125,125.5,10,9100,1140050
2002-01-22,124,122,122,125,10,10900,1340150
2002-01-23,128,122,127.25,122,25,39500,4953250
2002-01-24,126,125,126,127.25,14,42400,5300400
2002-01-25,130,128,130,126,21,21500,2792400
2002-01-30,130,130,130,130,4,1100,143000
2002-01-31,133,126,133,130,13,19200,2466700
2002-02-01,130,129,129,133,4,800,103900
2002-02-05,132.25,129,132,129,18,58000,7617925
2002-02-06,135,132,135,132,6,1600,212800
2002-02-07,135,133,135,135,20,59300,8005300
2002-02-08,140,135,140,135,13,10200,1395650
2002-02-11,139,139,139,140,2,1000,139000
2002-02-12,139,139,139,139,4,800,111200
2002-02-13,139,139,139,139,1,100,13900
2002-02-14,141,139,140,139,28,47600,6658600
2002-02-15,140,140,140,140,16,319100,44674000
2002-02-18,143,140,140,140,16,8700,1219425
2002-02-19,142,140,140.25,140,7,3900,547200
2002-02-20,140.25,140,140,140.25,21,23400,3277050
2002-02-21,141,140,140.25,140,13,34000,4786475
2002-02-22,143,140.25,141.5,140.25,16,15300,2171750
2002-02-25,146,143,145,141.5,57,343100,49807100
2002-02-26,146,145,146,145,16,114700,16740750
2002-02-28,146,146,146,146,14,145900,21301400
2002-03-01,146.75,146,146.75,146,2,1500,219750
2002-03-04,146,146,146,146.75,7,3200,467200
2002-03-05,147,146,147,146,5,2600,380125
2002-03-06,147,146.5,147,147,11,5900,866950
2002-03-07,147,147,147,147,4,800,117600
2002-03-08,150,147,150,147,14,6100,913700
2002-03-11,150,149.75,150,150,9,2900,434975
2002-03-13,150,150,150,150,10,7400,1110000
2002-03-14,150,150,150,150,35,130500,19575000
2002-03-15,148,145,148,150,4,1600,236500
2002-03-18,148,145,148,148,9,101300,14693700
2002-03-19,148,148,148,148,6,900,133200
2002-03-20,148,148,148,148,3,2600,384800
2002-03-21,149,148,148,148,5,1700,252200
2002-03-22,152,148.25,152,148,25,344600,51827550
2002-03-25,152,151.75,151.75,152,15,28000,4255750
2002-03-26,150,145,145,151.75,2,400,59000
2002-03-27,148,142,148,145,6,1700,246300
2002-04-01,140.25,140,140,148,4,900,126025
2002-04-02,142,140,140,140,10,6400,898150
2002-04-03,140,140,140,140,4,900,126000
2002-04-04,139,135,139,140,6,900,124700
2002-04-05,139,139,139,139,10,2600,361400
2002-04-08,139,139,139,139,7,3800,528200
2002-04-09,140,139,140,139,16,22900,3203100
2002-04-16,140,140,140,140,6,2800,392000
2002-04-17,140,140,140,140,3,400,56000
2002-04-18,140,140,140,140,9,6300,882000
2002-04-22,140.25,140,140,140,5,900,126050
2002-04-23,141,141,141,140,2,200,28200
2002-04-24,141,140,141,141,8,2300,323800
2002-04-25,141,141,141,141,3,3300,465300
2002-04-29,150.25,150,150,141,88,433700,65067525
2002-04-30,150.25,150,150.25,150,30,40100,6018300
2002-05-02,151,150.25,150.25,150.25,27,28800,4327950
